Prep Date,Read Date,Read Time,TimePoint,Treatment,Temperature,Family,Cross,CrossPop,Mom,Plate Number,Well Replicate,Settled,SettledPercentage,Metamorphosed but not settled,Not settled,Total count
17/12/2019,18/12/2019,08:00,T17,Ambient,27.5C,F1,D12 x D16,DxD,DaviesMom,52,1,8,80,0,2,10
17/12/2019,18/12/2019,08:00,T17,Ambient,27.5C,F1,D12 x D16,DxD,DaviesMom,52,2,8,80,0,2,10
17/12/2019,18/12/2019,08:00,T17,Ambient,27.5C,F1,D12 x D16,DxD,DaviesMom,52,3,5,55.55555556,2,2,9
17/12/2019,18/12/2019,08:40,T17,Hot,35.5C,F1,D12 x D16,DxD,DaviesMom,57,1,0,0,0,0,0
17/12/2019,18/12/2019,08:40,T17,Hot,35.5C,F1,D12 x D16,DxD,DaviesMom,57,2,0,0,0,0,0
17/12/2019,18/12/2019,08:40,T17,Hot,35.5C,F1,D12 x D16,DxD,DaviesMom,57,3,0,0,0,0,0
09/12/2019,10/12/2019,08:45,T17,Ambient,27.5C,F10,E3 x D12,ExD,EskMom,9,1,8,88.88888889,0,1,9
09/12/2019,10/12/2019,08:45,T17,Ambient,27.5C,F10,E3 x D12,ExD,EskMom,9,2,1,10,2,7,10
09/12/2019,10/12/2019,08:45,T17,Ambient,27.5C,F10,E3 x D12,ExD,EskMom,9,3,2,28.57142857,3,2,7
09/12/2019,10/12/2019,10:00,T17,Hot,35.5C,F10,E3 x D12,ExD,EskMom,15,1,6,85.71428571,1,0,7
09/12/2019,10/12/2019,10:00,T17,Hot,35.5C,F10,E3 x D12,ExD,EskMom,15,2,7,87.5,1,0,8
09/12/2019,10/12/2019,10:00,T17,Hot,35.5C,F10,E3 x D12,ExD,EskMom,15,3,2,40,3,0,5
09/12/2019,10/12/2019,08:45,T17,Ambient,27.5C,F100,E1 x K1,ExK,EskMom,8,1,5,55.55555556,4,0,9
09/12/2019,10/12/2019,08:45,T17,Ambient,27.5C,F100,E1 x K1,ExK,EskMom,8,2,4,44.44444444,0,5,9
09/12/2019,10/12/2019,08:45,T17,Ambient,27.5C,F100,E1 x K1,ExK,EskMom,8,3,4,44.44444444,3,2,9
09/12/2019,10/12/2019,10:00,T17,Hot,35.5C,F100,E1 x K1,ExK,EskMom,19,1,0,0,0,0,0
09/12/2019,10/12/2019,10:00,T17,Hot,35.5C,F100,E1 x K1,ExK,EskMom,19,2,0,0,0,0,0
09/12/2019,10/12/2019,10:00,T17,Hot,35.5C,F100,E1 x K1,ExK,EskMom,19,3,0,0,0,0,0
11/12/2019,12/12/2019,08:00,T17,Ambient,27.5C,F100,E1 x K1,ExK,EskMom,30,1,6,66.66666667,0,3,9
11/12/2019,12/12/2019,08:00,T17,Ambient,27.5C,F100,E1 x K1,ExK,EskMom,30,2,3,27.27272727,0,8,11
11/12/2019,12/12/2019,08:00,T17,Ambient,27.5C,F100,E1 x K1,ExK,EskMom,30,3,2,25,0,6,8
11/12/2019,12/12/2019,09:00,T17,Hot,35.5C,F100,E1 x K1,ExK,EskMom,44,1,0,0,0,0,0
11/12/2019,12/12/2019,09:00,T17,Hot,35.5C,F100,E1 x K1,ExK,EskMom,44,2,0,0,0,0,0
11/12/2019,12/12/2019,09:00,T17,Hot,35.5C,F100,E1 x K1,ExK,EskMom,44,3,0,0,0,0,0
09/12/2019,10/12/2019,08:45,T17,Ambient,27.5C,F101,E1 x K7,ExK,EskMom,6,1,6,75,0,2,8
09/12/2019,10/12/2019,08:45,T17,Ambient,27.5C,F101,E1 x K7,ExK,EskMom,6,2,4,44.44444444,0,5,9
09/12/2019,10/12/2019,08:45,T17,Ambient,27.5C,F101,E1 x K7,ExK,EskMom,6,3,4,44.44444444,3,2,9
09/12/2019,10/12/2019,10:00,T17,Hot,35.5C,F101,E1 x K7,ExK,EskMom,22,1,0,0,0,0,0
09/12/2019,10/12/2019,10:00,T17,Hot,35.5C,F101,E1 x K7,ExK,EskMom,22,2,0,0,0,0,0
