Prep Date,Read Date,Read Time,TimePoint,Treatment,Temperature,Family,Cross,CrossPop,Mom,Plate Number,Well Replicate,Settled,SettledPercentage,Metamorphosed but not settled,Not settled,Total count
17/12/2019,18/12/2019,15:00,T24,Ambient,27.5C,F1,D12 x D16,DxD,DaviesMom,52,1,6,75,0,2,8
17/12/2019,18/12/2019,15:00,T24,Ambient,27.5C,F1,D12 x D16,DxD,DaviesMom,52,2,6,66.66666667,0,3,9
17/12/2019,18/12/2019,15:00,T24,Ambient,27.5C,F1,D12 x D16,DxD,DaviesMom,52,3,3,33.33333333,0,6,9
17/12/2019,18/12/2019,15:45,T24,Hot,35.5C,F1,D12 x D16,DxD,DaviesMom,57,1,0,0,0,0,0
17/12/2019,18/12/2019,15:45,T24,Hot,35.5C,F1,D12 x D16,DxD,DaviesMom,57,2,0,0,0,0,0
17/12/2019,18/12/2019,15:45,T24,Hot,35.5C,F1,D12 x D16,DxD,DaviesMom,57,3,0,0,0,0,0
09/12/2019,10/12/2019,13:30,T24,Ambient,27.5C,F10,E3 x D12,ExD,EskMom,9,1,8,88.88888889,0,1,9
09/12/2019,10/12/2019,13:30,T24,Ambient,27.5C,F10,E3 x D12,ExD,EskMom,9,2,1,11.11111111,0,8,9
09/12/2019,10/12/2019,13:30,T24,Ambient,27.5C,F10,E3 x D12,ExD,EskMom,9,3,1,12.5,0,7,8
09/12/2019,10/12/2019,15:00,T24,Hot,35.5C,F10,E3 x D12,ExD,EskMom,15,1,3,100,0,0,3
09/12/2019,10/12/2019,15:00,T24,Hot,35.5C,F10,E3 x D12,ExD,EskMom,15,2,0,0,0,0,0
09/12/2019,10/12/2019,15:00,T24,Hot,35.5C,F10,E3 x D12,ExD,EskMom,15,3,0,0,0,0,0
09/12/2019,10/12/2019,13:30,T24,Ambient,27.5C,F100,E1 x K1,ExK,EskMom,8,1,6,66.66666667,3,0,9
09/12/2019,10/12/2019,13:30,T24,Ambient,27.5C,F100,E1 x K1,ExK,EskMom,8,2,4,44.44444444,0,5,9
09/12/2019,10/12/2019,13:30,T24,Ambient,27.5C,F100,E1 x K1,ExK,EskMom,8,3,7,70,3,0,10
09/12/2019,10/12/2019,15:00,T24,Hot,35.5C,F100,E1 x K1,ExK,EskMom,19,1,0,0,0,0,0
09/12/2019,10/12/2019,15:00,T24,Hot,35.5C,F100,E1 x K1,ExK,EskMom,19,2,0,0,0,0,0
09/12/2019,10/12/2019,15:00,T24,Hot,35.5C,F100,E1 x K1,ExK,EskMom,19,3,0,0,0,0,0
11/12/2019,12/12/2019,15:00,T24,Ambient,27.5C,F100,E1 x K1,ExK,EskMom,30,1,5,71.42857143,0,2,7
11/12/2019,12/12/2019,15:00,T24,Ambient,27.5C,F100,E1 x K1,ExK,EskMom,30,2,6,50,0,6,12
11/12/2019,12/12/2019,15:00,T24,Ambient,27.5C,F100,E1 x K1,ExK,EskMom,30,3,2,25,0,6,8
11/12/2019,12/12/2019,15:00,T24,Hot,35.5C,F100,E1 x K1,ExK,EskMom,44,1,0,0,0,0,0
11/12/2019,12/12/2019,15:00,T24,Hot,35.5C,F100,E1 x K1,ExK,EskMom,44,2,0,0,0,0,0
11/12/2019,12/12/2019,15:00,T24,Hot,35.5C,F100,E1 x K1,ExK,EskMom,44,3,0,0,0,0,0
09/12/2019,10/12/2019,13:30,T24,Ambient,27.5C,F101,E1 x K7,ExK,EskMom,6,1,7,77.77777778,1,1,9
09/12/2019,10/12/2019,13:30,T24,Ambient,27.5C,F101,E1 x K7,ExK,EskMom,6,2,6,60,0,4,10
09/12/2019,10/12/2019,13:30,T24,Ambient,27.5C,F101,E1 x K7,ExK,EskMom,6,3,4,44.44444444,1,4,9
09/12/2019,10/12/2019,15:00,T24,Hot,35.5C,F101,E1 x K7,ExK,EskMom,22,1,0,0,0,0,0
09/12/2019,10/12/2019,15:00,T24,Hot,35.5C,F101,E1 x K7,ExK,EskMom,22,2,0,0,0,0,0
09/12/2019,10/12/2019,15:00,T24,Hot,35.5C,F101,E1 x K7,ExK,EskMom,22,3,0,0,0,0,0
11/12/2019,12/12/2019,15:00,T24,Ambient,27.5C,F103,K8 x E2,KxE,KeppelsMom,31,1,6,66.66666667,0,3,9
11/12/2019,12/12/2019,15:00,T24,Ambient,27.5C,F103,K8 x E2,KxE,KeppelsMom,31,2,8,80,2,0,10
11/12/2019,12/12/2019,15:00,T24,Ambient,27.5C,F103,K8 x E2,KxE,KeppelsMom,31,3,10,100,0,0,10
11/12/2019,12/12/2019,15:00,T24,Hot,35.5C,F103,K8 x E2,KxE,KeppelsMom,40,1,0,0,0,0,0
11/12/2019,12/12/2019,15:00,T24,Hot,35.5C,F103,K8 x E2,KxE,KeppelsMom,40,2,0,0,0,0,0
11/12/2019,12/12/2019,15:00,T24,Hot,35.5C,F103,K8 x E2,KxE,KeppelsMom,40,3,0,0,0,0,0
17/12/2019,18/12/2019,15:00,T24,Ambient,27.5C,F106,K8 x E1,KxE,KeppelsMom,54,1,6,60,0,4,10
17/12/2019,18/12/2019,15:00,T24,Ambient,27.5C,F106,K8 x E1,KxE,KeppelsMom,54,2,7,87.5,0,1,8
17/12/2019,18/12/2019,15:00,T24,Ambient,27.5C,F106,K8 x E1,KxE,KeppelsMom,54,3,5,50,0,5,10
17/12/2019,18/12/2019,15:45,T24,Hot,35.5C,F106,K8 x E1,KxE,KeppelsMom,62,1,0,0,0,0,0
17/12/2019,18/12/2019,15:45,T24,Hot,35.5C,F106,K8 x E1,KxE,KeppelsMom,62,2,0,0,0,0,0
17/12/2019,18/12/2019,15:45,T24,Hot,35.5C,F106,K8 x E1,KxE,KeppelsMom,62,3,0,0,0,0,0
19/12/2019,20/12/2019,15:30,T24,Ambient,27.5C,F11,E5 x D10,ExD,EskMom,57,1,7,77.77777778,1,1,9
19/12/2019,20/12/2019,15:30,T24,Ambient,27.5C,F11,E5 x D10,ExD,EskMom,57,2,7,87.5,0,1,8
19/12/2019,20/12/2019,15:30,T24,Ambient,27.5C,F11,E5 x D10,ExD,EskMom,57,3,7,70,3,0,10
19/12/2019,20/12/2019,15:30,T24,Hot,35.5C,F11,E5 x D10,ExD,EskMom,66,1,0,0,0,0,0
19/12/2019,20/12/2019,15:30,T24,Hot,35.5C,F11,E5 x D10,ExD,EskMom,66,2,0,0,0,0,0
19/12/2019,20/12/2019,15:30,T24,Hot,35.5C,F11,E5 x D10,ExD,EskMom,66,3,0,0,0,0,0
19/12/2019,20/12/2019,15:30,T24,Ambient,27.5C,F114,K1 x E1,KxE,KeppelsMom,59,1,7,77.77777778,0,2,9
19/12/2019,20/12/2019,15:30,T24,Ambient,27.5C,F114,K1 x E1,KxE,KeppelsMom,59,2,7,70,3,0,10
19/12/2019,20/12/2019,15:30,T24,Ambient,27.5C,F114,K1 x E1,KxE,KeppelsMom,59,3,2,18.18181818,1,8,11
19/12/2019,20/12/2019,15:30,T24,Hot,35.5C,F114,K1 x E4,KxE,KeppelsMom,62,1,0,0,0,0,0
19/12/2019,20/12/2019,15:30,T24,Hot,35.5C,F114,K1 x E4,KxE,KeppelsMom,62,2,0,0,2,0,2
19/12/2019,20/12/2019,15:30,T24,Hot,35.5C,F114,K1 x E4,KxE,KeppelsMom,62,3,0,0,0,0,0
11/12/2019,12/12/2019,15:00,T24,Ambient,27.5C,F116,K7 x E4,KxE,KeppelsMom,31,1,0,0,7,3,10
11/12/2019,12/12/2019,15:00,T24,Ambient,27.5C,F116,K7 x E4,KxE,KeppelsMom,31,2,0,0,0,9,9
11/12/2019,12/12/2019,15:00,T24,Ambient,27.5C,F116,K7 x E4,KxE,KeppelsMom,31,3,5,50,1,4,10
11/12/2019,12/12/2019,15:00,T24,Hot,35.5C,F116,K7 x E4,KxE,KeppelsMom,42,1,0,0,0,0,0
11/12/2019,12/12/2019,15:00,T24,Hot,35.5C,F116,K7 x E4,KxE,KeppelsMom,42,2,0,0,0,0,0
11/12/2019,12/12/2019,15:00,T24,Hot,35.5C,F116,K7 x E4,KxE,KeppelsMom,42,3,0,0,0,0,0
19/12/2019,20/12/2019,15:30,T24,Ambient,27.5C,F12,E4 x D10,ExD,EskMom,57,1,10,100,0,0,10
19/12/2019,20/12/2019,15:30,T24,Ambient,27.5C,F12,E4 x D10,ExD,EskMom,57,2,7,87.5,1,0,8
19/12/2019,20/12/2019,15:30,T24,Ambient,27.5C,F12,E4 x D10,ExD,EskMom,57,3,10,100,0,0,10
19/12/2019,20/12/2019,15:30,T24,Hot,35.5C,F12,E4 x D10,ExD,EskMom,66,1,0,0,0,0,0
19/12/2019,20/12/2019,15:30,T24,Hot,35.5C,F12,E4 x D10,ExD,EskMom,66,2,0,0,0,0,0
19/12/2019,20/12/2019,15:30,T24,Hot,35.5C,F12,E4 x D10,ExD,EskMom,66,3,0,0,0,0,0
17/12/2019,18/12/2019,15:00,T24,Ambient,27.5C,F122,K4 x E1,KxE,KeppelsMom,47,1,5,83.33333333,0,1,6
17/12/2019,18/12/2019,15:00,T24,Ambient,27.5C,F122,K4 x E1,KxE,KeppelsMom,47,2,9,90,0,1,10
17/12/2019,18/12/2019,15:00,T24,Ambient,27.5C,F122,K4 x E1,KxE,KeppelsMom,47,3,9,90,0,1,10
17/12/2019,18/12/2019,15:45,T24,Hot,35.5C,F122,K4 x E1,KxE,KeppelsMom,61,1,0,0,0,0,0
17/12/2019,18/12/2019,15:45,T24,Hot,35.5C,F122,K4 x E1,KxE,KeppelsMom,61,2,0,0,0,0,0
17/12/2019,18/12/2019,15:45,T24,Hot,35.5C,F122,K4 x E1,KxE,KeppelsMom,61,3,0,0,0,0,0
11/12/2019,12/12/2019,15:00,T24,Ambient,27.5C,F13,E3 x D10,ExD,EskMom,32,1,6,60,0,4,10
11/12/2019,12/12/2019,15:00,T24,Ambient,27.5C,F13,E3 x D10,ExD,EskMom,32,2,4,40,1,5,10
11/12/2019,12/12/2019,15:00,T24,Ambient,27.5C,F13,E3 x D10,ExD,EskMom,32,3,1,10,0,9,10
11/12/2019,12/12/2019,15:00,T24,Hot,35.5C,F13,E3 x D10,ExD,EskMom,39,1,0,0,0,0,0
11/12/2019,12/12/2019,15:00,T24,Hot,35.5C,F13,E3 x D10,ExD,EskMom,39,2,0,0,0,0,0
11/12/2019,12/12/2019,15:00,T24,Hot,35.5C,F13,E3 x D10,ExD,EskMom,39,3,0,0,0,0,0
19/12/2019,20/12/2019,15:30,T24,Ambient,27.5C,F14,E5 x D11,ExD,EskMom,60,1,3,42.85714286,2,2,7
19/12/2019,20/12/2019,15:30,T24,Ambient,27.5C,F14,E5 x D11,ExD,EskMom,60,2,0,0,2,7,9
19/12/2019,20/12/2019,15:30,T24,Ambient,27.5C,F14,E5 x D11,ExD,EskMom,60,3,6,75,2,0,8
19/12/2019,20/12/2019,15:30,T24,Hot,35.5C,F14,E5 x D11,ExD,EskMom,63,1,0,0,0,0,0
19/12/2019,20/12/2019,15:30,T24,Hot,35.5C,F14,E5 x D11,ExD,EskMom,63,2,0,0,0,0,0
19/12/2019,20/12/2019,15:30,T24,Hot,35.5C,F14,E5 x D11,ExD,EskMom,63,3,0,0,0,0,0
09/12/2019,10/12/2019,13:30,T24,Ambient,27.5C,F15,E4 x D11,ExD,EskMom,4,1,0,0,0,9,9
09/12/2019,10/12/2019,13:30,T24,Ambient,27.5C,F15,E4 x D11,ExD,EskMom,4,2,0,0,2,7,9
09/12/2019,10/12/2019,13:30,T24,Ambient,27.5C,F15,E4 x D11,ExD,EskMom,4,3,5,50,1,4,10
09/12/2019,10/12/2019,15:00,T24,Hot,35.5C,F15,E4 x D11,ExD,EskMom,24,1,0,0,0,0,0
